Country,Year,overallreadiness,socialreadiness,economicreadiness,governmentreadiness,ecosystemvulnerability,exposure,foodvulnerability,habitatvulnerability,healthvulnerability,watervulnerability,overallvulnerability,GDPPerCapita,PercGDPContributionOfAgriForestFish,publicvoiceandgovaccountabilityindex
Brunei Darussalam,1995,-0.178337395,0.17485291,0.5225588529999999,0.6915820859999999,0.399450952,0.404784518,0.434200717,0.625080626,0.39655638200000004,0.285724391,0.108406556,15933.452830000002,15933.452830000002,
Cambodia,1995,-0.05982788,0.196208568,0.31385948,0.330263313,0.463644922,0.393904762,0.6372696210000001,0.5718836820000001,0.5074401789999999,0.5669294570000001,0.065537876,322.9315754,322.9315754,
Canada,1995,0.14376905,0.459899,0.485895449,0.8278353279999999,0.400139895,0.43349377200000005,0.24337994300000002,0.5049885000000001,0.291676958,0.204684643,-0.09768947300000001,20613.78788,20613.78788,
France,1995,0.144454009,0.542928239,0.45584507399999996,0.7387537209999999,0.291479451,0.39666662700000005,0.319083189,0.389451975,0.25314612,0.306369835,-0.112213404,26890.21762,26890.21762,
Germany,1995,0.169406563,0.5561334,0.475100654,0.8208030620000001,0.280313378,0.34677031399999997,0.221774506,0.362966036,0.24578801100000003,0.40203882700000004,-0.10132563,31658.34938,31658.34938,
Indonesia,1995,0.015052537,0.233235286,0.503789524,0.38117846,0.47540850799999995,0.517932426,0.602365079,0.532566827,0.482699903,0.418618761,0.010083512,1026.3934359999998,1026.3934359999998,
Italy,1995,0.029601337999999998,0.386916996,0.359080919,0.669977768,0.34640915299999997,0.44107370799999995,0.31922788,0.382739569,0.20790366100000002,0.329804119,-0.08575505300000001,20664.55227,20664.55227,
Japan,1995,0.164042234,0.6038488120000001,0.5034005229999999,0.7272963859999999,0.474524145,0.519500569,0.271063508,0.46857650700000003,0.144272713,0.382370252,-0.051354976,44197.6191,44197.6191,
Lao PDR,1995,-0.040706053,0.19740117199999999,0.330294798,0.378319588,0.557445536,0.39377682,0.646767861,0.551481161,0.615998983,0.461857442,0.083270885,363.88005239999995,363.88005239999995,
Malaysia,1995,0.0053210490000000004,0.16247895099999998,0.39817558200000003,0.615730762,0.369049778,0.442959989,0.505651462,0.514855457,0.38766989399999996,0.277319694,-0.071337045,4329.707998,4329.707998,
Myanmar,1995,-0.069966418,0.107749668,0.49270297799999996,0.206757213,0.559146186,0.565127233,0.567118103,0.598675541,0.675996225,0.40276562899999996,0.075015384,111.14081359999999,111.14081359999999,
Philippines,1995,-0.023953602,0.196803306,0.313275977,0.468966204,0.42996074799999995,0.492328186,0.5256786520000001,0.61715497,0.47780137200000006,0.519270192,0.025944331,1212.9444369999999,1212.9444369999999,
Singapore,1995,0.063318647,0.342229815,0.516626578,0.840669276,0.349676827,0.538326679,0.270959638,0.458100441,0.30404507199999997,0.549206402,0.033275663999999996,24914.41126,24914.41126,
Thailand,1995,0.019497748999999998,0.20035059100000002,0.43036546700000006,0.534231861,0.480400903,0.457569648,0.505313743,0.35733417,0.427540541,0.435607862,-0.022447396,2846.586834,2846.586834,
United Kingdom,1995,0.177074987,0.513784741,0.47937967200000003,0.8390458690000001,0.286945432,0.389993666,0.19782504199999998,0.40115238700000005,0.261048502,0.360161926,-0.12068406300000001,23206.56856,23206.56856,
United States,1995,0.150419313,0.559863321,0.5225588529999999,0.786576332,0.42838572799999997,0.48103446299999997,0.35760029600000004,0.44945361100000003,0.141044759,0.27611587600000004,-0.072398401,28690.8757,28690.8757,
Viet Nam,1995,0.000691929,0.199364355,0.383879773,0.44726785399999996,0.558990235,0.49079144700000005,0.542331391,0.508014699,0.47250470200000005,0.46751245799999996,0.038031802999999996,276.8126628,276.8126628,
Brunei Darussalam,1996,-0.183636407,0.17891274,0.5225588529999999,0.6915820859999999,0.397735199,0.404784518,0.433277475,0.624293798,0.39655638200000004,0.285724391,0.112335357,16793.39123,16793.39123,-0.6499723000000001
Cambodia,1996,-0.05983083,0.196721146,0.31385948,0.330263313,0.464902424,0.393904762,0.636897296,0.5717595879999999,0.5074401789999999,0.5669294570000001,0.06577129,319.2863136,319.2863136,-0.7494724
Canada,1996,0.142878489,0.465221381,0.485895449,0.8278353279999999,0.402541236,0.43349377200000005,0.242476915,0.50463309,0.291676958,0.204684643,-0.095765092,21227.347530000003,21227.347530000003,1.566336
France,1996,0.146221354,0.556485522,0.45584507399999996,0.7387537209999999,0.29193033399999996,0.39666662700000005,0.312516387,0.39015105299999997,0.16687568,0.306369835,-0.125514682,26871.83127,26871.83127,1.311158
