Country,Year,overallreadiness,socialreadiness,economicreadiness,governmentreadiness,ecosystemvulnerability,exposure,foodvulnerability,habitatvulnerability,healthvulnerability,watervulnerability,overallvulnerability,GDPPerCapita,PercGDPContributionOfAgriForestFish,publicvoiceandgovaccountabilityindex
Brunei Darussalam,1995,-0.178337395,0.17485291,0.522558853,0.691582086,0.399450952,0.404784518,0.434200717,0.625080626,0.396556382,0.285724391,0.108406556,15933.45283,1.161527571,
Cambodia,1995,-0.05982788,0.196208568,0.31385948,0.330263313,0.463644922,0.393904762,0.637269621,0.571883682,0.507440179,0.566929457,0.065537876,322.9315754,47.72456021,
Indonesia,1995,0.015052537,0.233235286,0.503789524,0.38117846,0.475408508,0.517932426,0.602365079,0.532566827,0.482699903,0.418618761,0.010083512,1026.393436,17.1383462,
Lao PDR,1995,-0.040706053,0.197401172,0.330294798,0.378319588,0.557445536,0.39377682,0.646767861,0.551481161,0.615998983,0.461857442,0.083270885,363.8800524,42.2262356,
Myanmar,1995,-0.069966418,0.107749668,0.492702978,0.206757213,0.559146186,0.565127233,0.567118103,0.598675541,0.675996225,0.402765629,0.075015384,111.1408136,,
Malaysia,1995,0.005321049,0.162478951,0.398175582,0.615730762,0.369049778,0.442959989,0.505651462,0.514855457,0.387669894,0.277319694,-0.071337045,4329.707998,12.94943656,
Philippines,1995,-0.023953602,0.196803306,0.313275977,0.468966204,0.429960748,0.492328186,0.525678652,0.61715497,0.477801372,0.519270192,0.025944331,1212.944437,18.92514588,
Singapore,1995,0.063318647,0.342229815,0.516626578,0.840669276,0.349676827,0.538326679,0.270959638,0.458100441,0.304045072,0.549206402,0.033275664,24914.41126,0.144861979,
Thailand,1995,0.019497749,0.200350591,0.430365467,0.534231861,0.480400903,0.457569648,0.505313743,0.35733417,0.427540541,0.435607862,-0.022447396,2846.586834,9.081224598,
Viet Nam,1995,0.000691929,0.199364355,0.383879773,0.447267854,0.558990235,0.490791447,0.542331391,0.508014699,0.472504702,0.467512458,0.038031803,276.8126628,27.18268878,
Canada,1995,0.14376905,0.459899,0.485895449,0.827835328,0.400139895,0.433493772,0.243379943,0.5049885,0.291676958,0.204684643,-0.097689473,20613.78788,,
France,1995,0.144454009,0.542928239,0.455845074,0.738753721,0.291479451,0.396666627,0.319083189,0.389451975,0.25314612,0.306369835,-0.112213404,26890.21762,2.444772231,
Germany,1995,0.169406563,0.5561334,0.475100654,0.820803062,0.280313378,0.346770314,0.221774506,0.362966036,0.245788011,0.402038827,-0.10132563,31658.34938,0.995455529,
Japan,1995,0.164042234,0.603848812,0.503400523,0.727296386,0.474524145,0.519500569,0.271063508,0.468576507,0.144272713,0.382370252,-0.051354976,44197.6191,1.645030276,
Italy,1995,0.029601338,0.386916996,0.359080919,0.669977768,0.346409153,0.441073708,0.31922788,0.382739569,0.207903661,0.329804119,-0.085755053,20664.55227,2.977708321,
United Kingdom,1995,0.177074987,0.513784741,0.479379672,0.839045869,0.286945432,0.389993666,0.197825042,0.401152387,0.261048502,0.360161926,-0.120684063,23206.56856,1.262968398,
