,Country,Year,PercGDPContributionOfAgriForestFish
0,Brunei Darussalam,1995,1.161527571
1,Canada,1995,
2,Germany,1995,0.995455529
3,France,1995,2.444772231
4,United Kingdom,1995,1.262968398
5,Indonesia,1995,17.1383462
6,Italy,1995,2.977708321
7,Japan,1995,1.645030276
8,Cambodia,1995,47.72456021
9,Lao PDR,1995,42.2262356
10,Myanmar,1995,
11,Malaysia,1995,12.94943656
12,Philippines,1995,18.92514588
13,Singapore,1995,0.144861979
14,Thailand,1995,9.081224598
15,United States,1995,
16,Viet Nam,1995,27.18268878
17,Brunei Darussalam,1996,1.122112852
18,Canada,1996,
19,Germany,1996,1.042167609
20,France,1996,2.404281518
21,United Kingdom,1996,1.098452465
22,Indonesia,1996,16.67238738
23,Italy,1996,2.974587634
24,Japan,1996,1.653533736
25,Cambodia,1996,44.46307956
26,Lao PDR,1996,40.49828878
27,Myanmar,1996,
28,Malaysia,1996,11.68043447
29,Philippines,1996,18.0136454
30,Singapore,1996,0.150025188
31,Thailand,1996,9.063416493
32,United States,1996,
33,Viet Nam,1996,27.75882604
34,Brunei Darussalam,1997,1.227343527
35,Canada,1997,2.139497957
36,Germany,1997,1.031384647
37,France,1997,2.344255815
38,United Kingdom,1997,0.969677247
39,Indonesia,1997,16.09211022
40,Italy,1997,2.861911574
41,Japan,1997,1.527912848
42,Cambodia,1997,44.44721268
43,Lao PDR,1997,51.85270624
44,Myanmar,1997,
45,Malaysia,1997,11.10133253
46,Philippines,1997,16.44910207
47,Singapore,1997,0.132916825
48,Thailand,1997,9.06490231
49,United States,1997,1.33691171
50,Viet Nam,1997,25.77170679
51,Brunei Darussalam,1998,1.410283186
52,Canada,1998,2.16737424
53,Germany,1998,0.975317958
54,France,1998,2.362459834
55,United Kingdom,1998,0.965524011
56,Indonesia,1998,18.08285295
57,Italy,1998,2.768857277
58,Japan,1998,1.603288292
59,Cambodia,1998,44.47995896
60,Lao PDR,1998,33.93876567
61,Myanmar,1998,
62,Malaysia,1998,13.31224426
63,Philippines,1998,14.74667331
64,Singapore,1998,0.111378367
65,Thailand,1998,10.25922711
66,United States,1998,1.213996911
67,Viet Nam,1998,25.78078041
68,Brunei Darussalam,1999,1.234980121
69,Canada,1999,2.196212585
70,Germany,1999,0.958397265
71,France,1999,2.236261411
72,United Kingdom,1999,0.876608732
73,Indonesia,1999,19.6126764
74,Italy,1999,2.722232363
75,Japan,1999,1.576060291
76,Cambodia,1999,40.90385299
77,Lao PDR,1999,34.31197937
78,Myanmar,1999,
79,Malaysia,1999,10.84238805
80,Philippines,1999,15.19435542
81,Singapore,1999,0.111245962
82,Thailand,1999,8.892995278
83,United States,1999,1.151182522
84,Viet Nam,1999,25.43443799
85,Brunei Darussalam,2000,1.024413492
86,Canada,2000,2.091653007
87,Germany,2000,0.994789222
88,France,2000,2.098357551
89,United Kingdom,2000,0.850705508
90,Indonesia,2000,15.67870444
91,Italy,2000,2.56361412
92,Japan,2000,1.517880339
93,Cambodia,2000,35.91870323
94,Lao PDR,2000,33.63025103
95,Myanmar,2000,
96,Malaysia,2000,8.599021888
97,Philippines,2000,13.94109439
98,Singapore,2000,0.092131733
99,Thailand,2000,8.499848121
100,United States,2000,1.150456365
101,Viet Nam,2000,24.534582
102,Brunei Darussalam,2001,1.134567236
103,Canada,2001,2.117890672
104,Germany,2001,1.083432296
105,France,2001,2.107008191
106,United Kingdom,2001,0.78212085
107,Indonesia,2001,15.99491776
108,Italy,2001,2.489631456
109,Japan,2001,1.367506192
110,Cambodia,2001,34.32030026
111,Lao PDR,2001,32.68319294
112,Myanmar,2001,57.14009071
113,Malaysia,2001,8.010970591
114,Philippines,2001,13.3028093
115,Singapore,2001,0.082356656
116,Thailand,2001,8.57928745
117,United States,2001,1.129325505
118,Viet Nam,2001,23.24104759
119,Brunei Darussalam,2002,1.093569608
120,Canada,2002,1.987623221
121,Germany,2002,0.900496788
122,France,2002,2.010858852
123,United Kingdom,2002,0.916379913
124,Indonesia,2002,16.31966897
125,Italy,2002,2.371382259
126,Japan,2002,1.376490599
127,Cambodia,2002,31.12904348
128,Lao PDR,2002,33.3863041
129,Myanmar,2002,55.51115763
130,Malaysia,2002,8.985081404
131,Philippines,2002,13.44841342
132,Singapore,2002,0.0710328
133,Thailand,2002,8.69217818
134,United States,2002,0.970430947
135,Viet Nam,2002,23.02944218
136,Brunei Darussalam,2003,1.222196519
137,Canada,2003,2.053091392
138,Germany,2003,0.832259436
139,France,2003,1.850164289
140,United Kingdom,2003,0.873354127
141,Indonesia,2003,15.18534822
142,Italy,2003,2.357959442
143,Japan,2003,1.299028224
144,Cambodia,2003,31.97082205
145,Lao PDR,2003,32.08611458
146,Myanmar,2003,52.26817177
147,Malaysia,2003,9.306085216
148,Philippines,2003,13.15094766
149,Singapore,2003,0.061134072
150,Thailand,2003,9.441354958
151,United States,2003,1.11525742
152,Viet Nam,2003,22.54243671
153,Brunei Darussalam,2004,1.127453453
154,Canada,2004,2.167813111
155,Germany,2004,0.951063416
156,France,2004,1.822690944
157,United Kingdom,2004,0.7601329
158,Indonesia,2004,14.3357803
159,Italy,2004,2.347032573
160,Japan,2004,1.230957484
161,Cambodia,2004,29.38975764
162,Lao PDR,2004,30.52134752
163,Myanmar,2004,49.29324203
164,Malaysia,2004,9.271002093
165,Philippines,2004,13.98440369
166,Singapore,2004,0.05564899
167,Thailand,2004,9.291110139
168,United States,2004,1.25866008
169,Viet Nam,2004,21.80769935
170,Brunei Darussalam,2005,0.946593335
171,Canada,2005,1.880311458
172,Germany,2005,0.726955701
173,France,2005,1.680101704
174,United Kingdom,2005,0.545491178
175,Indonesia,2005,13.12661864
176,Italy,2005,2.033595483
177,Japan,2005,1.111629406
178,Cambodia,2005,30.71005759
179,Lao PDR,2005,28.29513534
180,Myanmar,2005,47.3152234
181,Malaysia,2005,8.262291704
182,Philippines,2005,13.517547
183,Singapore,2005,0.055048114
184,Thailand,2005,9.194355282
185,United States,2005,1.142255277
186,Viet Nam,2005,19.29997888
187,Brunei Darussalam,2006,0.706141843
188,Canada,2006,1.701018459
189,Germany,2006,0.737585322
190,France,2006,1.518490643
191,United Kingdom,2006,0.59632077
192,Indonesia,2006,12.97380272
193,Italy,2006,1.945839947
194,Japan,2006,1.082496746
195,Cambodia,2006,30.05876192
196,Lao PDR,2006,26.72966991
197,Myanmar,2006,45.08621267
198,Malaysia,2006,8.609982841
199,Philippines,2006,13.36124911
200,Singapore,2006,0.048865424
201,Thailand,2006,9.401993466
202,United States,2006,1.000677774
203,Viet Nam,2006,18.72678545
204,Brunei Darussalam,2007,0.689655172
205,Canada,2007,1.587160732
206,Germany,2007,0.778860195
207,France,2007,1.612992953
208,United Kingdom,2007,0.562522947
209,Indonesia,2007,13.7166831
210,Italy,2007,1.896287174
211,Japan,2007,1.053364132
212,Cambodia,2007,29.69654194
213,Lao PDR,2007,25.78814868
214,Myanmar,2007,43.57277272
215,Malaysia,2007,9.98677368
216,Philippines,2007,13.60650762
217,Singapore,2007,0.042867997
218,Thailand,2007,9.347684701
219,United States,2007,1.066822141
220,Viet Nam,2007,18.6550997
221,Brunei Darussalam,2008,0.635849769
222,Canada,2008,1.768273548
223,Germany,2008,0.838330408
224,France,2008,1.515223
225,United Kingdom,2008,0.676340045
226,Indonesia,2008,14.48174026
227,Italy,2008,1.874623634
228,Japan,2008,1.054101767
229,Cambodia,2008,32.75105777
230,Lao PDR,2008,24.17648143
231,Myanmar,2008,41.62798873
232,Malaysia,2008,9.968582335
233,Philippines,2008,14.51607476
234,Singapore,2008,0.041432188
235,Thailand,2008,10.07243383
236,United States,2008,1.065783136
237,Viet Nam,2008,20.41314392
238,Brunei Darussalam,2009,0.908956973
239,Canada,2009,1.549893275
240,Germany,2009,0.695334317
241,France,2009,1.323161997
242,United Kingdom,2009,0.680808159
243,Indonesia,2009,15.29014815
244,Italy,2009,1.802738541
245,Japan,2009,1.082316506
246,Cambodia,2009,33.49071752
247,Lao PDR,2009,24.20537708
248,Myanmar,2009,39.1116132
249,Malaysia,2009,9.219100044
250,Philippines,2009,14.54021332
251,Singapore,2009,0.040687761
252,Thailand,2009,9.787033759
253,United States,2009,0.968572536
254,Viet Nam,2009,19.16845987
255,Brunei Darussalam,2010,0.733012306
256,Canada,2010,1.493236081
257,Germany,2010,0.803696771
258,France,2010,1.604028289
259,United Kingdom,2010,0.602160409
260,Indonesia,2010,13.92921271
261,Italy,2010,1.775514538
262,Japan,2010,1.108281081
263,Cambodia,2010,33.87667876
264,Lao PDR,2010,22.59579413
265,Myanmar,2010,37.43048956
266,Malaysia,2010,10.08991593
267,Philippines,2010,13.74886505
268,Singapore,2010,0.036179572
269,Thailand,2010,10.52217564
270,United States,2010,1.042481339
271,Viet Nam,2010,18.37848058
272,Brunei Darussalam,2011,0.575033258
273,Canada,2011,1.765664466
274,Germany,2011,0.910022424
275,France,2011,1.650287193
276,United Kingdom,2011,0.690202928
277,Indonesia,2011,13.51228707
278,Italy,2011,1.883426278
279,Japan,2011,1.080271763
280,Cambodia,2011,34.55731403
281,Lao PDR,2011,20.79125519
282,Myanmar,2011,34.50935341
283,Malaysia,2011,11.45335312
284,Philippines,2011,14.09573515
285,Singapore,2011,0.034664521
286,Thailand,2011,11.59179178
287,United States,2011,1.216487537
288,Viet Nam,2011,19.56775113
289,Brunei Darussalam,2012,0.655398677
290,Canada,2012,1.811345744
291,Germany,2012,0.847918814
292,France,2012,1.631795037
293,United Kingdom,2012,0.637404835
294,Indonesia,2012,13.37397424
295,Italy,2012,1.970753135
296,Japan,2012,1.122853962
297,Cambodia,2012,33.51960361
298,Lao PDR,2012,18.54848657
299,Myanmar,2012,31.49482836
300,Malaysia,2012,9.793750746
301,Philippines,2012,13.09580701
302,Singapore,2012,0.033326961
303,Thailand,2012,11.50410015
304,United States,2012,1.158828949
305,Viet Nam,2012,19.221401
306,Brunei Darussalam,2013,0.684659216
307,Canada,2013,1.894231512
308,Germany,2013,0.942643214
309,France,2013,1.458632177
310,United Kingdom,2013,0.637535517
311,Indonesia,2013,13.35669916
312,Italy,2013,2.144589807
313,Japan,2013,1.06671783
314,Cambodia,2013,31.59506243
315,Lao PDR,2013,17.93049843
316,Myanmar,2013,30.02932025
317,Malaysia,2013,9.113363845
318,Philippines,2013,12.4734251
319,Singapore,2013,0.034427182
320,Thailand,2013,11.32221534
321,United States,2013,1.333513679
322,Viet Nam,2013,17.96358637
323,Brunei Darussalam,2014,0.862737495
324,Canada,2014,1.586548077
325,Germany,2014,0.904547675
326,France,2014,1.55635616
327,United Kingdom,2014,0.746524021
328,Indonesia,2014,13.336755
329,Italy,2014,1.99786089
330,Japan,2014,0.9966057
331,Cambodia,2014,28.87130353
332,Lao PDR,2014,17.84879178
333,Myanmar,2014,28.63165633
334,Malaysia,2014,8.873209013
335,Philippines,2014,12.27168162
336,Singapore,2014,0.034590983
337,Thailand,2014,10.08892162
338,United States,2014,1.185571018
339,Viet Nam,2014,17.69919977
340,Brunei Darussalam,2015,1.102486219
341,Canada,2015,1.869835946
342,Germany,2015,0.684691591
343,France,2015,1.605644387
344,United Kingdom,2015,0.634452453
345,Indonesia,2015,13.49264356
346,Italy,2015,2.065236762
347,Japan,2015,1.03412007
348,Cambodia,2015,26.58036001
349,Lao PDR,2015,17.5877597
350,Myanmar,2015,27.27221848
351,Malaysia,2015,8.287499926
352,Philippines,2015,10.99649916
353,Singapore,2015,0.032613514
354,Thailand,2015,8.872723648
355,United States,2015,1.043866452
356,Viet Nam,2015,16.992212
357,Brunei Darussalam,2016,1.203633477
358,Canada,2016,1.862225893
359,Germany,2016,0.69843113
360,France,2016,1.437114867
361,United Kingdom,2016,0.566834504
362,Indonesia,2016,13.47874855
363,Italy,2016,1.928373307
364,Japan,2016,1.124981308
365,Cambodia,2016,24.74266442
366,Lao PDR,2016,17.23017659
367,Myanmar,2016,26.73441801
368,Malaysia,2016,8.462526618
369,Philippines,2016,10.20512553
370,Singapore,2016,0.031609625
371,Thailand,2016,8.478076963
372,United States,2016,0.94398888
373,Viet Nam,2016,16.31964409
374,Brunei Darussalam,2017,1.086449483
375,Canada,2017,1.889994632
376,Germany,2017,0.85174892
377,France,2017,1.542414774
378,United Kingdom,2017,0.593378706
379,Indonesia,2017,13.15663085
380,Italy,2017,1.972684673
381,Japan,2017,1.128440549
382,Cambodia,2017,23.36144048
383,Lao PDR,2017,16.19975986
384,Myanmar,2017,24.91762469
385,Malaysia,2017,8.598276952
386,Philippines,2017,10.18295413
387,Singapore,2017,0.030773118
388,Thailand,2017,8.406412587
389,United States,2017,0.949806072
390,Viet Nam,2017,15.34488286
391,Brunei Darussalam,2018,1.017623081
392,Canada,2018,1.699891576
393,Germany,2018,0.689013201
394,France,2018,1.648876616
395,United Kingdom,2018,0.576624141
396,Indonesia,2018,12.80849756
397,Italy,2018,1.945420074
398,Japan,2018,1.04669343
399,Cambodia,2018,22.0129559
400,Lao PDR,2018,15.70918682
401,Myanmar,2018,23.0027856
402,Malaysia,2018,7.512087639
403,Philippines,2018,9.650140358
404,Singapore,2018,0.03020958
405,Thailand,2018,8.183701765
406,United States,2018,0.920560058
407,Viet Nam,2018,14.68197863
408,Brunei Darussalam,2019,0.98605513
409,Canada,2019,
410,Germany,2019,0.778988585
411,France,2019,1.522459269
412,United Kingdom,2019,0.611985281
413,Indonesia,2019,12.71270046
414,Italy,2019,1.90838119
415,Japan,2019,1.007060811
416,Cambodia,2019,20.71187069
417,Lao PDR,2019,15.16733022
418,Myanmar,2019,21.35405077
419,Malaysia,2019,7.239764281
420,Philippines,2019,8.820323747
421,Singapore,2019,0.032384523
422,Thailand,2019,8.136939296
423,United States,2019,0.916865221
424,Viet Nam,2019,13.95647559
425,Brunei Darussalam,2020,1.217502927
426,Canada,2020,
427,Germany,2020,0.735309839
428,France,2020,1.596840451
429,United Kingdom,2020,0.581795613
430,Indonesia,2020,13.7039348
431,Italy,2020,1.987091985
432,Japan,2020,
433,Cambodia,2020,22.37922556
434,Lao PDR,2020,16.20896116
435,Myanmar,2020,21.97964091
436,Malaysia,2020,8.194521409
437,Philippines,2020,10.18480808
438,Singapore,2020,0.032402756
439,Thailand,2020,8.631139731
440,United States,2020,
441,Viet Nam,2020,14.85316165
