,Country,Year,PercGDPContributionOfAgriForestFish
0,Brunei Darussalam,1995,15933.45283
1,Canada,1995,20613.78788
2,Germany,1995,31658.34938
3,France,1995,26890.21762
4,United Kingdom,1995,23206.56856
5,Indonesia,1995,1026.393436
6,Italy,1995,20664.55227
7,Japan,1995,44197.6191
8,Cambodia,1995,322.9315754
9,Lao PDR,1995,363.8800524
10,Myanmar,1995,111.1408136
11,Malaysia,1995,4329.707998
12,Philippines,1995,1212.944437
13,Singapore,1995,24914.41126
14,Thailand,1995,2846.586834
15,United States,1995,28690.8757
16,Viet Nam,1995,276.8126628
17,Brunei Darussalam,1996,16793.39123
18,Canada,1996,21227.34753
19,Germany,1996,30485.86655
20,France,1996,26871.83127
21,United Kingdom,1996,24438.53117
22,Indonesia,1996,1137.410101
23,Italy,1996,23081.60468
24,Japan,1996,39150.03963
25,Cambodia,1996,319.2863136
26,Lao PDR,1996,378.4286058
27,Myanmar,1996,129.5689382
28,Malaysia,1996,4798.61177
29,Philippines,1996,1325.571064
30,Singapore,1996,26233.6289
31,Thailand,1996,3043.980314
32,United States,1996,29967.71272
33,Viet Nam,1996,324.1472239
34,Brunei Darussalam,1997,16660.14763
35,Canada,1997,21901.56285
36,Germany,1997,26964.04947
37,France,1997,24228.94639
38,United Kingdom,1997,26742.98485
39,Indonesia,1997,1063.712376
40,Italy,1997,21829.34582
41,Japan,1997,35638.23196
42,Cambodia,1997,304.7647688
43,Lao PDR,1997,345.9218442
44,Myanmar,1997,125.1036891
45,Malaysia,1997,4637.865661
46,Philippines,1997,1288.580731
47,Singapore,1997,26375.97195
48,Thailand,1997,2468.18473
49,United States,1997,31459.13898
50,Viet Nam,1997,348.0174071
51,Brunei Darussalam,1998,12694.14896
52,Canada,1998,21024.58507
53,Germany,1998,27289.05936
54,France,1998,24974.27386
55,United Kingdom,1998,28269.32251
56,Indonesia,1998,463.9481582
57,Italy,1998,22318.1373
58,Japan,1998,32423.75561
59,Cambodia,1998,268.9903722
60,Lao PDR,1998,248.8390915
61,Myanmar,1998,101.1389517
62,Malaysia,1998,3263.334883
