,Country,Year,overallreadiness,socialreadiness,economicreadiness,governmentreadiness
0,Brunei Darussalam,1995,-0.178337395,0.17485291,0.522558853,0.691582086
1,Cambodia,1995,-0.05982788,0.196208568,0.31385948,0.330263313
2,Canada,1995,0.14376905,0.459899,0.485895449,0.827835328
3,France,1995,0.144454009,0.542928239,0.455845074,0.738753721
4,Germany,1995,0.169406563,0.5561334,0.475100654,0.820803062
5,Indonesia,1995,0.015052537,0.233235286,0.503789524,0.38117846
6,Italy,1995,0.029601338,0.386916996,0.359080919,0.669977768
7,Japan,1995,0.164042234,0.603848812,0.503400523,0.727296386
8,Lao PDR,1995,-0.040706053,0.197401172,0.330294798,0.378319588
9,Malaysia,1995,0.005321049,0.162478951,0.398175582,0.615730762
10,Myanmar,1995,-0.069966418,0.107749668,0.492702978,0.206757213
11,Philippines,1995,-0.023953602,0.196803306,0.313275977,0.468966204
12,Singapore,1995,0.063318647,0.342229815,0.516626578,0.840669276
13,Thailand,1995,0.019497749,0.200350591,0.430365467,0.534231861
14,United Kingdom,1995,0.177074987,0.513784741,0.479379672,0.839045869
15,United States,1995,0.150419313,0.559863321,0.522558853,0.786576332
16,Viet Nam,1995,0.000691929,0.199364355,0.383879773,0.447267854
17,Brunei Darussalam,1996,-0.183636407,0.17891274,0.522558853,0.691582086
18,Cambodia,1996,-0.05983083,0.196721146,0.31385948,0.330263313
19,Canada,1996,0.142878489,0.465221381,0.485895449,0.827835328
20,France,1996,0.146221354,0.556485522,0.455845074,0.738753721
21,Germany,1996,0.16865568,0.561177999,0.475100654,0.820803062
22,Indonesia,1996,0.013447581,0.233685222,0.503789524,0.38117846
23,Italy,1996,0.02695825,0.388425335,0.359080919,0.669977768
24,Japan,1996,0.161308826,0.611415008,0.503400523,0.727296386
25,Lao PDR,1996,-0.040686577,0.19874899,0.330294798,0.378319588
26,Malaysia,1996,0.004380108,0.173616571,0.398175582,0.615730762
27,Myanmar,1996,-0.069541037,0.109629279,0.492702978,0.206757213
28,Philippines,1996,-0.023766033,0.199628789,0.313275977,0.468966204
29,Singapore,1996,0.067245558,0.379464609,0.516626578,0.840669276
30,Thailand,1996,0.018361437,0.203208024,0.430365467,0.534231861
31,United Kingdom,1996,0.172641714,0.519333148,0.479379672,0.839045869
32,United States,1996,0.146188737,0.565381978,0.522558853,0.786576332
33,Viet Nam,1996,0.000918039,0.201961213,0.383879773,0.447267854
34,Brunei Darussalam,1997,-0.184033679,0.179690901,0.522558853,0.669696138
35,Cambodia,1997,-0.0623188,0.196204838,0.31385948,0.323650972
36,Canada,1997,0.140332471,0.473758298,0.485895449,0.828824486
37,France,1997,0.142177055,0.563768621,0.455845074,0.73259757
38,Germany,1997,0.167733888,0.566376152,0.475100654,0.820609324
39,Indonesia,1997,0.00276159,0.241114959,0.503789524,0.345157422
40,Italy,1997,0.023502111,0.393456704,0.359080919,0.666918184
41,Japan,1997,0.15961456,0.619438455,0.503400523,0.723190732
